customer_id,R_days,F_count,M_amount,R_score,F_score,M_score,RFM_score,segment
1,14,14,53,3,2,3,8,Potential Loyalists
2,14,2,64,3,1,3,7,Potential Loyalists
3,7,23,73,5,3,4,12,Loyal Customers
4,7,49,90,5,5,5,15,Champions
5,365,31,49,1,4,2,7,Potential Loyalists
6,7,14,20,5,2,1,8,Potential Loyalists
7,90,49,85,1,5,5,11,Loyal Customers
8,7,19,34,5,2,1,8,Potential Loyalists
9,365,8,97,1,1,5,7,Potential Loyalists
10,90,4,31,1,1,1,3,Low Value / Churn Risk
11,14,26,34,3,3,1,7,Potential Loyalists
12,14,10,68,3,1,3,7,Potential Loyalists
13,14,37,72,3,4,4,11,Loyal Customers
14,7,31,51,5,4,2,11,Loyal Customers
15,7,34,53,5,4,3,12,Loyal Customers
16,30,8,81,3,1,4,8,Potential Loyalists
17,14,44,36,3,5,2,10,Loyal Customers
18,90,36,38,1,4,2,7,Potential Loyalists
19,7,17,48,5,2,2,9,Potential Loyalists
20,14,46,90,3,5,5,13,Champions
21,90,50,51,1,5,2,8,Potential Loyalists
22,90,22,62,1,3,3,7,Potential Loyalists
23,365,32,37,1,4,2,7,Potential Loyalists
24,7,40,88,5,4,5,14,Champions
25,7,16,22,5,2,1,8,Potential Loyalists
26,365,14,25,1,2,1,4,Low Value / Churn Risk
27,365,13,20,1,2,1,4,Low Value / Churn Risk
28,90,7,56,1,1,3,5,At Risk
29,90,41,94,1,5,5,11,Loyal Customers
30,7,14,48,5,2,2,9,Potential Loyalists
31,30,16,31,3,2,1,6,At Risk
32,30,45,79,3,5,4,12,Loyal Customers
33,365,37,67,1,4,3,8,Potential Loyalists
34,90,45,38,1,5,2,8,Potential Loyalists
35,90,38,91,1,4,5,10,Loyal Customers
36,14,48,33,3,5,1,9,Potential Loyalists
37,14,44,69,3,5,4,12,Loyal Customers
38,7,10,45,5,1,2,8,Potential Loyalists
39,90,44,37,1,5,2,8,Potential Loyalists
40,30,18,60,3,2,3,8,Potential Loyalists
41,90,31,76,1,4,4,9,Potential Loyalists
42,365,40,39,1,4,2,7,Potential Loyalists
43,365,15,100,1,2,5,8,Potential Loyalists
44,14,19,69,3,2,4,9,Potential Loyalists
45,7,45,53,5,5,3,13,Champions
46,365,25,21,1,3,1,5,At Risk
47,90,45,43,1,5,2,8,Potential Loyalists
48,7,36,54,5,4,3,12,Loyal Customers
49,30,38,55,3,4,3,10,Loyal Customers
50,14,34,30,3,4,1,8,Potential Loyalists
51,14,39,28,3,4,1,8,Potential Loyalists
52,90,7,59,1,1,3,5,At Risk
53,7,26,20,5,3,1,9,Potential Loyalists
54,7,35,24,5,4,1,10,Loyal Customers
55,14,35,94,3,4,5,12,Loyal Customers
56,365,49,28,1,5,1,7,Potential Loyalists
57,7,46,73,5,5,4,14,Champions
58,14,17,64,3,2,3,8,Potential Loyalists
59,30,29,54,3,3,3,9,Potential Loyalists
60,7,4,79,5,1,4,10,Loyal Customers
61,7,17,37,5,2,2,9,Potential Loyalists
62,90,21,68,1,3,3,7,Potential Loyalists
63,14,31,21,3,4,1,8,Potential Loyalists
64,7,43,79,5,5,4,14,Champions
65,14,18,83,3,2,4,9,Potential Loyalists
66,90,44,36,1,5,2,8,Potential Loyalists
67,90,3,94,1,1,5,7,Potential Loyalists
68,30,49,33,3,5,1,9,Potential Loyalists
69,90,21,46,1,3,2,6,At Risk
70,7,5,70,5,1,4,10,Loyal Customers
71,90,32,29,1,4,1,6,At Risk
72,365,34,48,1,4,2,7,Potential Loyalists
73,90,21,26,1,3,1,5,At Risk
74,14,43,85,3,5,5,13,Champions
75,30,3,58,3,1,3,7,Potential Loyalists
76,365,21,85,1,3,5,9,Potential Loyalists
77,30,32,43,3,4,2,9,Potential Loyalists
78,14,36,53,3,4,3,10,Loyal Customers
79,14,50,91,3,5,5,13,Champions
80,90,43,96,1,5,5,11,Loyal Customers
